"","track_name","artist.s._name","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm","key","mode","danceability_.","valence_.","energy_.","acousticness_.","instrumentalness_.","liveness_.","speechiness_.","cover_url"
"371","Love Again","The Kid Laroi",1,2023,1,27,1283,0,"147538971",57,4,"48",0,"0",107,"B","Minor",66,47,40,72,0,11,3,"https://i.scdn.co/image/ab67616d0000b273a53643fc03785efb9926443d"
"35","TQG","Karol G, Shakira",2,2023,2,23,4284,49,"618990393",115,123,"184",18,"354",180,"E","Minor",72,61,63,67,0,9,28,"https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335"
"717","La Zona","Bad Bunny",1,2020,2,29,1188,0,"312622938",13,1,"15",0,"1",94,"C#","Minor",76,81,80,20,0,25,4,"https://i.scdn.co/image/ab67616d0000b273548f7ec52da7313de0c5e4a0"
"441","Payphone","Maroon 5, Wiz Khalifa",2,2012,1,1,14143,4,"1479264469",56,38,"1,891",1,"",110,"E","Major",74,51,74,2,0,29,4,"https://i.scdn.co/image/ab67616d0000b273ce7d499847da02a9cbd1c084"
"750","sentaDONA (Remix) s2","Luï¿½ï¿½sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K",4,2022,3,17,870,0,"176290831",32,0,"49",0,"0",135,"D#","Minor",93,77,45,25,0,13,27,"Not Found"
"449","Let It Snow! Let It Snow! Let It Snow!","Dean Martin",1,1959,11,16,6512,0,"446390129",88,1,"277",0,"0",134,"C#","Major",45,72,24,91,0,18,4,"https://i.scdn.co/image/ab67616d0000b273e359bd02a639a4d01b8241ae"
"7","Ella Baila Sola","Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,"725980112",34,222,"43",13,"418",148,"F","Minor",67,83,76,48,0,8,3,"https://i.scdn.co/image/ab67616d0000b2732071a0c79802d9375a53bfef"
"948","The Great War","Taylor Swift",1,2022,10,21,1274,0,"181382590",1,6,"11",0,"0",96,"F","Major",57,55,74,22,0,8,4,"https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0"
"846","Belly Dancer","BYOR, Imanbek",2,2022,2,18,5115,13,"383835984",109,38,"301",1,"33",122,"C#","Major",85,42,80,6,0,17,14,"Not Found"
"395","Escapism. - Sped Up","RAYE, 070 Shake",2,2022,11,25,1368,0,"184308753",12,1,"11",0,"8",108,"F#","Minor",44,38,77,9,0,9,20,"https://i.scdn.co/image/ab67616d0000b273e38f6d02f1e76fe09009e64e"
"604","HEARTBREAK ANNIVERSARY","Giveon",1,2020,2,21,5398,4,"951637566",111,127,"210",0,"37",129,"","Major",61,59,46,56,0,13,5,"https://i.scdn.co/image/ab67616d0000b2733317fc12f8b9a9a0b8459766"
"278","Komang","Raim Laode",1,2022,8,16,158,4,"137123880",5,6,"1",1,"18",134,"G","Major",70,35,41,41,0,10,3,"https://i.scdn.co/image/ab67616d0000b273f20ec6ba1f431a90dbf2e8b6"
"407","WAIT FOR U (feat. Drake & Tems)","Drake, Future, Tems",3,2022,4,27,5491,14,"556585270",128,84,"75",0,"35",83,"C#","Major",46,34,64,31,0,7,34,"https://i.scdn.co/image/ab67616d0000b27386badd635b69aea887862214"
"267","Shorty Party","Cartel De Santa, La Kelly",2,2023,3,4,432,12,"162887075",8,14,"12",2,"33",96,"D","Major",93,47,47,33,0,10,36,"https://i.scdn.co/image/ab67616d0000b273608e249e118a39e897f149ce"
"767","Despuï¿½ï¿½s de la P","Bad Bunny",1,2022,5,6,2229,0,"461558540",27,44,"24",0,"5",78,"F","Major",56,61,90,36,0,18,31,"Not Found"
"51","El Cielo","Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,"107753850",44,64,"57",10,"110",106,"A#","Minor",72,17,64,7,0,10,5,"Not Found"
"448","It's the Most Wonderful Time of the Year","Andy Williams",1,1963,10,14,8879,0,"663832097",182,107,"160",0,"1",202,"G","Major",24,76,60,77,0,12,4,"https://i.scdn.co/image/ab67616d0000b27398073965947f92f1641b8356"
